item_id,mineral,measure,value,perc_daily_recom
67407,Zinc, mg , 2.8,
67407,Iron, mg , 3.3,
67407,Selenium, mcg , 8,
67407,Chromium, mcg , 9,
67407,Molybdenum, mcg , 9,
67612,Sodium, mg , 90,
67612,Potassium, mg , 470,
67612,Chloride, mg , 230,
67612,Calcium, mg , 330,
67612,Phosphorus, mg , 250,
67612,Magnesium, mg , 40,
67612,Iodine, mcg , 23,
67612,Manganese, mg , 0.46,
67612,Copper, mg , 0.14,
67612,Zinc, mg , 1.7,
67612,Iron, mg , 2.7,
67612,Selenium, mcg , 8,
67612,Chromium, mcg , 9.0,
67612,Molybdenum, mcg , 9.0,
67374,Sodium, mg , 90,
67374,Potassium, mg , 470,
67374,Chloride, mg , 230,
67374,Calcium, mg , 330,
67374,Phosphorus, mg , 250,
67374,Magnesium, mg , 40,
67374,Iodine, mcg , 23,
67374,Manganese, mg , 0.46,
67374,Copper, mg , 0.14,
67374,Zinc, mg , 1.7,
67374,Iron, mg , 2.7,
67374,Selenium, mcg , 8.0,
67374,Chromium, mcg , 9.0,
67374,Molybdenum, mcg , 9.0,
67411,Sodium, mg , 170,
67411,Potassium, mg , 470,
67411,Chloride, mg , 240,
67411,Calcium, mg , 330,
67411,Phosphorus, mg , 250,
67411,Magnesium, mg , 40,
67411,Iodine, mcg , 23,
67411,Manganese, mg , 0.46,
67411,Copper, mg , 0.14,
67411,Zinc, mg , 2.8,
67411,Iron, mg , 3.3,
67411,Selenium, mcg , 8,
67411,Chromium, mcg , 9,
67411,Molybdenum, mcg , 9,
67413,Sodium, mg , 170,
67413,Potassium, mg , 470,
67413,Chloride, mg , 240,
67413,Calcium, mg , 330,
67413,Phosphorus, mg , 250,
67413,Magnesium, mg , 40,
67413,Iodine, mcg , 23,
67413,Manganese, mg , 0.46,
67413,Copper, mg , 0.14,
67413,Zinc, mg , 2.8,
67413,Iron, mg , 3.3,
67413,Selenium, mcg , 8,
67413,Chromium, mcg , 9,
67413,Molybdenum, mcg , 9,
66645,Calories : 70,,,
66645,Total Fat, g , 0,0.0
66645,Sodium, mg , 1380,60.0
66645,Total Carbohydrate, g , 16,6.0
66645,Total Sugars, g , 16,
66645,Added Sugars, g , 16,32.0
66645,Protein, g , 0,
67434,Calories : 70,,,
67434,Total Fat, g , 0,0.0
67434,Sodium, mg , 1380,60.0
67434,Total Carbohydrate, g , 16,6.0
67434,Total Sugars, g , 16,
67434,Added Sugars, g , 16,32.0
67434,Protein, g , 0,0.0
66641,Calories : 70,,,
66641,Total Fat, g , 0,0.0
66641,Sodium, mg , 1380,60.0
66641,Total Carbohydrate, g , 16,6.0
66641,Total Sugars, g , 16,
66641,Added Sugars, g , 16,32.0
66641,Protein, g , 0,0.0
63059,Calories : 70,,,
63059,Total Fat, g , 0,0.0
63059,Total Carbohydrate, g , 16,6.0
63059,Total Sugars, g , 16,
63059,Added Sugars, g , 16,32.0
63059,Protein, g , 0,
64301,Calories : 70,,,
64301,Total Fat, g , 0,0.0
64301,Total Carbohydrate, g , 16,6.0
64301,Total Sugars, g , 16,
64301,Added Sugars, g , 16,32.0
64301,Protein, g , 0,
64307,Calories : 70,,,
64307,Total Fat, g , 0,0.0
64307,Total Carbohydrate, g , 16,6.0
64307,Total Sugars, g , 16,
64307,Added Sugars, g , 16,32.0
64307,Protein, g , 0,
63057,Calories : 70,,,
63057,Total Fat, g , 0,0.0
63057,Total Carbohydrate, g , 16,6.0
63057,Total Sugars, g , 16,
63057,Added Sugars, g , 16,32.0
63057,Protein, g , 0,
59892,Calories : 100,,,
59892,Total Fat, g , 0,0.0
59892,Sodium, mg , 1030,45.0
59892,Total Carbohydrate, g , 25,9.0
59892,Total Sugars, g , 25,
59892,Added Sugars, g , 25,50.0
59892,Protein, g , 0,
66855,Calories : 70,,,0.0
66855,Total Fat, g , 0,0.0
66855,Sodium, mg , 1380,60.0
66855,Total Carbohydrate, g , 16,6.0
66855,Total Sugars, g , 16,
66855,Added Sugars, g , 16,32.0
66855,Protein, g , 0,
66643,Calories : 70,,,
66643,Total Fat, g , 0,0.0
66643,Sodium, mg , 1380,60.0
66643,Total Carbohydrate, g , 16,6.0
66643,Total Sugars, g , 16,
66643,Added Sugars, g , 16,32.0
66643,Protein, g , 0,
64307e,Calories : 70,,,
64307e,Total Fat, g , 0,0.0
64307e,Total Carbohydrate, g , 16,6.0
64307e,Total Sugars, g , 16,
64307e,Added Sugars, g , 16,32.0
64307e,Protein, g , 0,
59892p4,Calories : 100,,,
59892p4,Total Fat, g , 0,0.0
59892p4,Sodium, mg , 1030,45.0
59892p4,Total Carbohydrate, g , 25,9.0
59892p4,Total Sugars, g , 25,
59892p4,Added Sugars, g , 25,50.0
59892p4,Protein, g , 0,
66645e,Calories : 70,,,
66645e,Total Fat, g , 0,0.0
66645e,Sodium, mg , 1380,60.0
66645e,Total Carbohydrate, g , 16,6.0
66645e,Total Sugars, g , 16,
66645e,Added Sugars, g , 16,32.0
66645e,Protein, g , 0,
66855e,Calories : 70,,,0.0
66855e,Total Fat, g , 0,0.0
66855e,Sodium, mg , 1380,60.0
66855e,Total Carbohydrate, g , 16,6.0
66855e,Total Sugars, g , 16,
66855e,Added Sugars, g , 16,32.0
66855e,Protein, g , 0,
66641e,Calories : 70,,,
66641e,Total Fat, g , 0,0.0
66641e,Sodium, mg , 1380,60.0
66641e,Total Carbohydrate, g , 16,6.0
66641e,Total Sugars, g , 16,
66641e,Added Sugars, g , 16,32.0
66641e,Protein, g , 0,0.0
67434e,Calories : 70,,,
67434e,Total Fat, g , 0,0.0
67434e,Sodium, mg , 1380,60.0
67434e,Total Carbohydrate, g , 16,6.0
67434e,Total Sugars, g , 16,
67434e,Added Sugars, g , 16,32.0
67434e,Protein, g , 0,0.0
66643e,Calories : 70,,,
66643e,Total Fat, g , 0,0.0
66643e,Sodium, mg , 1380,60.0
66643e,Total Carbohydrate, g , 16,6.0
66643e,Total Sugars, g , 16,
66643e,Added Sugars, g , 16,32.0
66643e,Protein, g , 0,
64301e,Calories : 70,,,
64301e,Total Fat, g , 0,0.0
64301e,Total Carbohydrate, g , 16,6.0
64301e,Total Sugars, g , 16,
64301e,Added Sugars, g , 16,32.0
64301e,Protein, g , 0,
63059e,Calories : 70,,,
63059e,Total Fat, g , 0,0.0
63059e,Total Carbohydrate, g , 16,6.0
63059e,Total Sugars, g , 16,
63059e,Added Sugars, g , 16,32.0
63059e,Protein, g , 0,
63057e,Calories : 70,,,
63057e,Total Fat, g , 0,0.0
63057e,Total Carbohydrate, g , 16,6.0
63057e,Total Sugars, g , 16,
63057e,Added Sugars, g , 16,32.0
63057e,Protein, g , 0,
64796,Sodium, mg , 250,
64796,Potassium, mg , 225,
64796,Chloride, mg , 200,
64796,Calcium, mg , 250,
64796,Phosphorus, mg , 170,
64796,Magnesium, mg , 40,
64796,Iodine, mcg , 38,
64796,Manganese, mg , 0.6,
64796,Copper, mg , 0.42,
64796,Zinc, mg , 3,
64796,Iron, mg , 3.3,
64796,Selenium, mcg , 13.8,
64796,Chromium, mcg , 7.5,
64796,Molybdenum, mcg , 11,
62585,Sodium, mg , 250,
62585,Potassium, mg , 225,
62585,Chloride, mg , 200,
62585,Calcium, mg , 250,
62585,Phosphorus, mg , 170,
62585,Magnesium, mg , 40,
62585,Iodine, mcg , 38,
62585,Manganese, mg , 0.6,
62585,Copper, mg , 0.42,
62585,Zinc, mg , 3,
62585,Iron, mg , 3.3,
62585,Selenium, mcg , 13.8,
62585,Chromium, mcg , 7.5,
62585,Molybdenum, mcg , 11,
64798,Sodium, mg , 250,
64798,Potassium, mg , 225,
64798,Chloride, mg , 200,
64798,Calcium, mg , 250,
64798,Phosphorus, mg , 170,
64798,Magnesium, mg , 40,
64798,Iodine, mcg , 38,
64798,Manganese, mg , 0.6,
64798,Copper, mg , 0.42,
64798,Zinc, mg , 3,
64798,Iron, mg , 3.3,
64798,Selenium, mcg , 13.8,
64798,Chromium, mcg , 7.5,
64798,Molybdenum, mcg , 11,
66534,Calcium, mg , 330,25
66534,Iron, mg , 4.5,25
66534,Potassium, mg , 330,8
66534,Phosphorus :,,,25
66534,Iodine :,,,25
66534,Magnesium :,,,25
66534,Zinc :,,,30
66534,Selenium :,,,25
66534,Copper :,,,25
66534,Manganese :,,,20
66534,Chromium :,,,50
66534,Molybdenum :,,,40
66534,Chloride :,,,10
62885,Calcium, mg , 260,20
62885,Iron, mg , 4.5,25
62885,Potassium, mg , 610,15
62885,Phosphorus :,,,25
62885,Iodine :,,,25
62885,Magnesium :,,,25
62885,Zinc :,,,30
62885,Selenium :,,,25
62885,Copper :,,,60
62885,Manganese :,,,35
62885,Chromium :,,,100
62885,Molybdenum :,,,40
62885,Chloride :,,,10
62882,Calcium, mg , 330,25
62882,Iron, mg , 4.5,25
62882,Potassium, mg , 330,8
62882,Phosphorus :,,,25
62882,Iodine :,,,25
62882,Magnesium :,,,25
62882,Zinc :,,,30
62882,Selenium :,,,25
62882,Copper :,,,25
62882,Manganese :,,,20
62882,Chromium :,,,50
62882,Molybdenum :,,,40
62882,Chloride :,,,10
57801,Calcium, mg , 260,20
57801,Iron, mg , 3.6,20
57801,Potassium, mg , 380,8
57801,Phosphorus :,,,20
57801,Iodine :,,,25
57801,Magnesium :,,,25
57801,Zinc :,,,25
57801,Selenium :,,,25
57801,Copper :,,,20
57801,Manganese :,,,20
57801,Chromium :,,,50
57801,Molybdenum :,,,35
57801,Chloride :,,,10
57807,Calcium, mg , 260,20
57807,Iron, mg , 3.6,20
57807,Potassium, mg , 380,8
57807,Phosphorus :,,,20
57807,Iodine :,,,25
57807,Magnesium :,,,25
57807,Zinc :,,,25
57807,Selenium :,,,25
57807,Copper :,,,20
57807,Manganese :,,,20
57807,Chromium :,,,50
57807,Molybdenum :,,,35
57807,Chloride :,,,10
66794,Calcium, mg , 260,20
66794,Iron, mg , 3.6,20
66794,Potassium, mg , 470,10
66794,Phosphorus :,,,20
66794,Iodine :,,,25
66794,Magnesium :,,,25
66794,Zinc :,,,25
66794,Selenium :,,,25
66794,Copper :,,,30
66794,Manganese :,,,20
66794,Chromium :,,,50
66794,Molybdenum :,,,35
66794,Chloride :,,,10
57810,Calcium, mg , 260,20
57810,Iron, mg , 3.6,20
57810,Potassium, mg , 380,8
57810,Phosphorus :,,,20
57810,Iodine :,,,25
57810,Magnesium :,,,25
57810,Zinc :,,,25
57810,Selenium :,,,25
57810,Copper :,,,20
57810,Manganese :,,,20
57810,Chromium :,,,50
57810,Molybdenum :,,,35
57810,Chloride :,,,10
57804,Calcium, mg , 260,20
57804,Iron, mg , 3.6,20
57804,Potassium, mg , 470,10
57804,Phosphorus :,,,20
57804,Iodine :,,,25
57804,Magnesium :,,,25
57804,Zinc :,,,25
57804,Selenium :,,,25
57804,Copper :,,,30
57804,Manganese :,,,20
57804,Chromium :,,,50
57804,Molybdenum :,,,35
57804,Chloride :,,,10
67067,Calcium, mg , 460,35
67067,Iron, mg , 6.3,35
67067,Potassium, mg , 380,8
67067,Phosphorus :,,,30
67067,Iodine :,,,35
67067,Magnesium :,,,40
67067,Zinc :,,,50
67067,Selenium :,,,45
67067,Copper :,,,40
67067,Manganese :,,,35
67067,Chromium :,,,80
67067,Molybdenum :,,,60
67067,Chloride :,,,15
59856,Calcium, mg , 260,20
59856,Iron, mg , 2.7,15
59856,Potassium, mg , 280,6
59856,Phosphorus :,,,15
59856,Iodine :,,,20
59856,Magnesium :,,,15
59856,Zinc :,,,20
59856,Selenium :,,,15
59856,Copper :,,,15
59856,Manganese :,,,15
59856,Chromium :,,,40
59856,Molybdenum :,,,25
59856,Chloride :,,,15
67070,Calcium, mg , 460,35
67070,Iron, mg , 6.3,35
67070,Potassium, mg , 850,20
67070,Phosphorus :,,,30
67070,Iodine :,,,35
67070,Magnesium :,,,40
67070,Zinc :,,,35
67070,Selenium :,,,25
67070,Copper :,,,60
67070,Manganese :,,,35
67070,Chromium :,,,100
67070,Molybdenum :,,,45
67070,Chloride :,,,15
59859,Calcium, mg , 130,10
59859,Iron, mg , 2.7,15
59859,Potassium, mg , 280,6
59859,Phosphorus :,,,15
59859,Iodine :,,,20
59859,Magnesium :,,,15
59859,Zinc :,,,15
59859,Selenium :,,,10
59859,Copper :,,,20
59859,Manganese :,,,15
59859,Chromium :,,,35
59859,Molybdenum :,,,20
59859,Chloride :,,,15
64913,Sodium, mg , 220,
64913,Potassium, mg , 370,
64913,Chloride, mg , 340,
64913,Calcium, mg , 170,
64913,Phosphorus, mg , 170,
64913,Magnesium, mg , 67,
64913,Iodine, mcg , 25,
64913,Manganese, mg , 0.84,
64913,Copper, mg , 0.34,
64913,Zinc, mg , 3.8,
64913,Iron, mg , 3.0,
64913,Selenium, mcg , 12,
64913,Chromium, mcg , 20,
64913,Molybdenum, mcg , 25,
64918,Sodium, mg , 265,
64918,Potassium, mg , 480,
64918,Chloride, mg , 305,
64918,Calcium, mg , 190,
64918,Phosphorus, mg , 190,
64918,Magnesium, mg , 76,
64918,Iodine, mcg , 29,
64918,Manganese, mg , 0.38,
64918,Copper, mg , 0.38,
64918,Zinc, mg , 2.9,
64918,Iron, mg , 3.5,
64918,Selenium, mcg , 14,
64918,Chromium, mcg , 38,
64918,Molybdenum, mcg , 19,
66906,Calcium, mg , 100,8
66906,Iron, mg , 1.4,8
66906,Potassium, mg , 50,<2
66906,Phosphorus :,,,8
66906,Iodine :,,,10
66906,Magnesium :,,,8
66906,Zinc :,,,15
66906,Selenium :,,,15
66906,Copper :,,,20
66906,Manganese :,,,8
66906,Chromium :,,,50
66906,Molybdenum :,,,15
64920,Sodium, mg , 330,
64920,Potassium, mg , 600,
64920,Chloride, mg , 380,
64920,Calcium, mg , 240,
64920,Phosphorus, mg , 240,
64920,Magnesium, mg , 95,
64920,Iodine, mcg , 36,
64920,Manganese, mg , 0.48,
64920,Copper, mg , 0.48,
64920,Zinc, mg , 3.6,
64920,Iron, mg , 4.3,
64920,Selenium, mcg , 17,
64920,Chromium, mcg , 48,
64920,Molybdenum, mcg , 23,
66905,Calcium, mg , 20,<2
66905,Iron, mg , 1.4,8
66905,Potassium, mg , 40,0
66905,Phosphorus :,,,4
66905,Iodine :,,,10
66905,Magnesium :,,,8
66905,Zinc :,,,15
66905,Selenium :,,,15
66905,Copper :,,,20
66905,Manganese :,,,8
66905,Chromium :,,,50
66905,Molybdenum :,,,15
66884,Calcium, mg , 200,15
66884,Iron, mg , 3.5,20
66884,Potassium, mg (mEq) , 380,8
66884,Phosphorus :,,,20
66884,Iodine :,,,20
66884,Magnesium :,,,15
66884,Zinc :,,,20
66884,Copper :,,,45
66884,Manganese :,,,45
66887,Calcium, mg , 200,15
66887,Iron, mg , 2,10
66887,Potassium, mg , 370,8
66887,Phosphorus :,,,20
66887,Iodine :,,,20
66887,Magnesium :,,,15
66887,Zinc :,,,20
66887,Copper :,,,45
66887,Manganese :,,,45
66903,Calcium, mg , 100,8
66903,Iron, mg , 1.4,8
66903,Potassium, mg , 30,0
66903,Phosphorus :,,,8
66903,Iodine :,,,10
66903,Magnesium :,,,8
66903,Zinc :,,,15
66903,Selenium :,,,15
66903,Copper :,,,20
66903,Manganese :,,,8
66903,Chromium :,,,50
66903,Molybdenum :,,,15
67272,Calcium, mg , 630,50
67272,Potassium, mg , 190,4
67272,Phosphorus :,,,25
67272,Iodine :,,,30
67272,Molybdenum :,,,40
67272,Zinc :,,,50
67272,Selenium :,,,35
67272,Chloride :,,,8
67272,Manganese :,,,20
67272,Chromium :,,,150
67257,Calcium, mg , 630,50
67257,Potassium, mg , 190,4
67257,Phosphorus :,,,35
67257,Iodine :,,,30
67257,Zinc :,,,50
67257,Selenium :,,,35
67257,Manganese :,,,20
67257,Chromium :,,,150
67257,Molybdenum :,,,40
67257,Chloride :,,,8
67247,Calcium, mg , 400,30
67247,Iron, mg , 6,35
67247,Potassium, mg , 370,8
67247,Phosphorus :,,,20
67247,Iodine :,,,25
67247,Magnesium :,,,8
67247,Zinc :,,,35
67247,Selenium :,,,50
67247,Copper :,,,35
67247,Manganese :,,,25
67247,Chromium :,,,40
67247,Molybdenum :,,,70
67254,Calcium, mg , 710,55
67254,Potassium, mg , 420,8
67254,Phosphorus :,,,25
67254,Iodine :,,,25
67254,Molybdenum :,,,35
67254,Zinc :,,,10
67254,Selenium :,,,25
67254,Chloride :,,,8
67254,Manganese :,,,15
67254,Chromium :,,,100
67500,Calcium, mg , 195,15
67500,Iron, mg , 2,10
67500,Potassium, mg , 40,0
67500,Phosphorus :,,,15
67500,Zinc :,,,30
67500,Selenium :,,,30
67500,Chromium :,,,80
67500,Molybdenum :,,,30
67495,Calcium, mg , 195,15
67495,Iron, mg , 2,10
67495,Potassium, mg , 0,0
67495,Phosphorus :,,,15
67495,Zinc :,,,30
67495,Selenium :,,,30
67495,Chromium :,,,80
67495,Molybdenum :,,,30
67510,Calcium, mg , 195,15
67510,Iron, mg , 2,10
67510,Potassium, mg , 40,0
67510,Phosphorus :,,,15
67510,Zinc :,,,30
67510,Selenium :,,,30
67510,Chromium :,,,80
67510,Molybdenum :,,,30
67500p12,Calcium, mg , 195,15
67500p12,Iron, mg , 2,10
67500p12,Potassium, mg , 40,0
67500p12,Phosphorus :,,,15
67500p12,Zinc :,,,30
67500p12,Selenium :,,,30
67500p12,Chromium :,,,80
67500p12,Molybdenum :,,,30
67510p12,Calcium, mg , 195,15
67510p12,Iron, mg , 2,10
67510p12,Potassium, mg , 40,0
67510p12,Phosphorus :,,,15
67510p12,Zinc :,,,30
67510p12,Selenium :,,,30
67510p12,Chromium :,,,80
67510p12,Molybdenum :,,,30
67495p12,Calcium, mg , 195,15
67495p12,Iron, mg , 2,10
67495p12,Potassium, mg , 0,0
67495p12,Phosphorus :,,,15
67495p12,Zinc :,,,30
67495p12,Selenium :,,,30
67495p12,Chromium :,,,80
67495p12,Molybdenum :,,,30
