item_id,vitamin,measure,value,perc_daily_recom,vit
67612,, mcg , 6.0,,Vitamin D
67612,, mg , 3.0,,Vitamin E
67612,, mcg , 18,,Vitamin K
67612,, mg , 23,,Vitamin C
67612,, mcg DFE , 60,,Folate
67612,, mcg , 36,,Folic Acid
67612,, mg , 0.30,,Thiamin (Vitamin B1)
67612,, mg , 0.33,,Riboflavin (Vitamin B2)
67612,, mg , 0.34,,Vitamin B6
67612,, mcg , 0.48,,Vitamin B12
67612,, mg , 80,,Choline
67612,, mg NE , 3.2,,Niacin
67612,, mcg , 8,,Biotin
67612,, mg , 1.3,,Pantothenic Acid
67612,, mg , 20,,Inositol
67374,, mcg RAE , 140,,Vitamin A
67374,, mcg , 6.0,,Vitamin D
67374,, mg , 3.0,,Vitamin E
67374,, mcg , 18,,Vitamin K
67374,, mg , 23,,Vitamin C
67374,, mcg DFE , 60,,Folate
67374,, mcg , 36,,Folic Acid
67374,, mg , 0.30,,Thiamin (Vitamin B1)
67374,, mg , 0.33,,Riboflavin (Vitamin B2)
67374,, mg , 0.34,,Vitamin B6
67374,, mcg , 0.48,,Vitamin B12
67374,, mg NE , 3.2,,Niacin
67374,, mg , 80,,Choline
67374,, mcg , 8.0,,Biotin
67374,, mg , 1.3,,Pantothenic Acid
67374,, mg , 20,,Inositol
67411,, mcg RAE , 140,,Vitamin A
67411,, mcg , 5.9,,Vitamin D
67411,, mg , 2.5,,Vitamin E
67411,, mcg , 16,,Vitamin K
67411,, mg , 24,,Vitamin C
67411,, mcg DFE , 120,,Folate
67411,, mcg , 71,,Folic Acid
67411,, mg , 0.60,,Thiamin (Vitamin B1)
67411,, mg , 0.50,,Riboflavin (Vitamin B2)
67411,, mg , 0.60,,Vitamin B6
67411,, mcg , 1.4,,Vitamin B12
67411,, mg NE , 5.2,,Niacin
67411,, mg , 80,,Choline
67411,, mcg , 20,,Biotin
67411,, mg , 2.4,,Pantothenic Acid
67411,, mg , 32,,Inositol
67413,, mcg RAE , 140,,Vitamin A
67413,, mcg , 5.9,,Vitamin D
67413,, mg , 2.5,,Vitamin E
67413,, mcg , 16,,Vitamin K
67413,, mg , 24,,Vitamin C
67413,, mcg DFE , 120,,Folate
67413,, mg , 0.60,,Thiamin (Vitamin B1)
67413,, mg , 0.50,,Riboflavin (Vitamin B2)
67413,, mg , 0.60,,Vitamin B6
67413,, mcg , 1.4,,Vitamin B12
67413,, mg NE , 5.2,,Niacin
67413,, mg , 80,,Choline
67413,, mcg , 20,,Biotin
67413,, mg , 2.4,,Pantothenic Acid
67413,, mg , 32,,Inositol
67426p6,, mg , 840,35,Chloride
67426p6,, mg , 370,8,Potassium
66645,, mg , 630,25,Chloride
66645,, mg , 280,6,Potassium
66645,, mg , 2.8,25,Zinc
67434,, mg , 2.8,25,Zinc
67434,, mg , 630,25,Chloride
67434,, mg , 280,6,Potassium
66641,, mg , 280,6,Potassium
66641,, mg , 2.8,25,Zinc
66641,, mg , 630,25,Chloride
66969p6,, mg , 370,8,Potassium
66969p6,, mg , 840,35,Chloride
63059,, mg , 2.8,25,Zinc
63059,, mg , 440,20,Chloride
63059,, mg , 370,16,Sodium
63059,, mg , 280,6,Potassium
64301,, mg , 370,16,Sodium
64301,, mg , 280,6,Potassium
64301,, mg , 2.8,25,Zinc
64301,, mg , 440,20,Chloride
64307,, mg , 2.8,25,Zinc
64307,, mg , 440,20,Chloride
64307,, mg , 370,16,Sodium
64307,, mg , 280,6,Potassium
64598,, mg , 590,25,Chloride
64598,, mg , 370,8,Potassium
63057,, mg , 2.8,25,Zinc
63057,, mg , 440,20,Chloride
63057,, mg , 370,16,Sodium
63057,, mg , 280,6,Potassium
59892,, mg , 2.8,25,Zinc
59892,, mg , 440,20,Chloride
59892,, mg , 280,6,Potassium
66855,, mg , 630,25,Chloride
66855,, mg , 280,6,Potassium
66855,, mg , 2.8,25,Zinc
66643,, mg , 2.8,25,Zinc
66643,, mg , 630,25,Chloride
66643,, mg , 280,6,Potassium
62605,, mg , 100,2,Potassium
62605,, mg , 160,6,Chloride
67426,, mg , 840,35,Chloride
67426,, mg , 370,8,Potassium
64172,, mg , 370,8,Potassium
64172,, mg , 590,25,Chloride
64177,, mg , 590,25,Chloride
64177,, mg , 370,8,Potassium
66972,, mg , 840,35,Chloride
66972,, mg , 370,8,Potassium
66969,, mg , 370,8,Potassium
66969,, mg , 840,35,Chloride
56090,, mg , 240,10,Sodium
56090,, mg , 290,15,Chloride
56090,, mg , 180,4,Potassium
64595,, mg , 590,25,Chloride
64595,, mg , 370,8,Potassium
64307e,, mg , 2.8,25,Zinc
64307e,, mg , 440,20,Chloride
64307e,, mg , 370,16,Sodium
64307e,, mg , 280,6,Potassium
64172p6,, mg , 370,8,Potassium
64172p6,, mg , 590,25,Chloride
56090p8,, mg , 240,10,Sodium
56090p8,, mg , 290,15,Chloride
56090p8,, mg , 180,4,Potassium
59892p4,, mg , 2.8,25,Zinc
59892p4,, mg , 440,20,Chloride
59892p4,, mg , 280,6,Potassium
64598p6,, mg , 590,25,Chloride
64598p6,, mg , 370,8,Potassium
64177p6,, mg , 590,25,Chloride
64177p6,, mg , 370,8,Potassium
64595p6,, mg , 590,25,Chloride
64595p6,, mg , 370,8,Potassium
66645e,, mg , 630,25,Chloride
66645e,, mg , 280,6,Potassium
66645e,, mg , 2.8,25,Zinc
66855e,, mg , 630,25,Chloride
66855e,, mg , 280,6,Potassium
66855e,, mg , 2.8,25,Zinc
66641e,, mg , 280,6,Potassium
66641e,, mg , 2.8,25,Zinc
66641e,, mg , 630,25,Chloride
67434e,, mg , 2.8,25,Zinc
67434e,, mg , 630,25,Chloride
67434e,, mg , 280,6,Potassium
66643e,, mg , 2.8,25,Zinc
66643e,, mg , 630,25,Chloride
66643e,, mg , 280,6,Potassium
64301e,, mg , 370,16,Sodium
64301e,, mg , 280,6,Potassium
64301e,, mg , 2.8,25,Zinc
64301e,, mg , 440,20,Chloride
66972p6,, mg , 840,35,Chloride
66972p6,, mg , 370,8,Potassium
63059e,, mg , 2.8,25,Zinc
63059e,, mg , 440,20,Chloride
63059e,, mg , 370,16,Sodium
63059e,, mg , 280,6,Potassium
63057e,, mg , 2.8,25,Zinc
63057e,, mg , 440,20,Chloride
63057e,, mg , 370,16,Sodium
63057e,, mg , 280,6,Potassium
67225,, mg , 590,25,Chloride
67225,, mg , 710,15,Potassium
67220p6,, mg , 590,25,Chloride
67220p6,, mg , 710,15,Potassium
67220,, mg , 590,25,Chloride
67220,, mg , 710,15,Potassium
67225p6,, mg , 590,25,Chloride
67225p6,, mg , 710,15,Potassium
64796,, mcg RAE , 180,,Vitamin A
64796,, mcg , 5,,Vitamin D
64796,, mg , 6.8,,Vitamin E
64796,, mcg , 19,,Vitamin K
64796,, mg , 23,,Vitamin C
64796,, mcg DFE , 300,,Folate
64796,, mcg , 180,,Folic Acid
64796,, mg , 0.6,,Thiamin (Vitamin B1)
64796,, mg , 0.5,,Riboflavin (Vitamin B2)
64796,, mg , 2.21,,Vitamin B6
64796,, mcg , 1.2,,Vitamin B12
64796,, mg , 8,,Niacin
64796,, mg , 140,,Choline
64796,, mcg , 15,,Biotin
64796,, mg , 2.25,,Pantothenic Acid
62585,, mcg RAE , 180,,Vitamin A
62585,, mcg , 5,,Vitamin D
62585,, mg , 6.8,,Vitamin E
62585,, mcg , 19,,Vitamin K
62585,, mg , 23,,Vitamin C
62585,, mcg DFE , 300,,Folate
62585,, mcg , 180,,Folic Acid
62585,, mg , 0.6,,Thiamin (Vitamin B1)
62585,, mg , 0.5,,Riboflavin (Vitamin B2)
62585,, mg , 2.21,,Vitamin B6
62585,, mcg , 1.2,,Vitamin B12
62585,, mg , 8,,Niacin
62585,, mg , 140,,Choline
62585,, mcg , 15,,Biotin
62585,, mg , 2.25,,Pantothenic Acid
64798,, mcg RAE , 180,,Vitamin A
64798,, mcg , 5,,Vitamin D
64798,, mg , 6.8,,Vitamin E
64798,, mcg , 19,,Vitamin K
64798,, mg , 23,,Vitamin C
64798,, mcg DFE , 300,,Folate
64798,, mcg , 180,,Folic Acid
64798,, mg , 0.6,,Thiamin (Vitamin B1)
64798,, mg , 0.5,,Riboflavin (Vitamin B2)
64798,, mg , 2.21,,Vitamin B6
64798,, mcg , 1.2,,Vitamin B12
64798,, mg , 8,,Niacin
64798,, mg , 140,,Choline
64798,, mcg , 15,,Biotin
64798,, mg , 2.25,,Pantothenic Acid
66534,, mcg , 12,60.0,Vitamin D
66534,,,,25.0,Vitamin A :
66534,,,,100.0,Vitamin C :
66534,,,,50.0,Vitamin E :
66534,,,,30.0,Vitamin K :
66534,,,,35.0,Thiamin :
66534,,,,30.0,Riboflavin :
66534,,,,25.0,Niacin :
66534,,,,35.0,Vitamin B6 :
66534,,,,30.0,Folate :
66534,, mcg , 72,,Folic Acid
66534,,,,25.0,Vitamin B12 :
66534,,,,25.0,Biotin :
66534,,,,30.0,Pantothenic Acid :
66534,,,,25.0,Choline :
62885,, mcg , 12,60.0,Vitamin D
62885,,,,25.0,Vitamin A :
62885,,,,100.0,Vitamin C :
62885,,,,50.0,Vitamin E :
62885,,,,30.0,Vitamin K :
62885,,,,35.0,Thiamin :
62885,,,,30.0,Riboflavin :
62885,,,,25.0,Niacin :
62885,,,,35.0,Vitamin B6 :
62885,,,,30.0,Folate :
62885,, mcg , 72,,Folic Acid
62885,,,,25.0,Vitamin B12 :
62885,,,,25.0,Biotin :
62885,,,,30.0,Pantothenic Acid :
62885,,,,25.0,Choline :
62882,, mcg , 12,60.0,Vitamin D
62882,,,,25.0,Vitamin A :
62882,,,,100.0,Vitamin C :
62882,,,,50.0,Vitamin E :
62882,,,,30.0,Vitamin K :
62882,,,,35.0,Thiamin :
62882,,,,30.0,Riboflavin :
62882,,,,25.0,Niacin :
62882,,,,35.0,Vitamin B6 :
62882,,,,30.0,Folate :
62882,, mcg , 72,,Folic Acid
62882,,,,25.0,Vitamin B12 :
62882,,,,25.0,Biotin :
62882,,,,30.0,Pantothenic Acid :
62882,,,,25.0,Choline :
57801,, mcg , 12,60.0,Vitamin D
57801,,,,25.0,Vitamin A :
57801,,,,100.0,Vitamin C :
57801,,,,40.0,Vitamin E :
57801,,,,25.0,Vitamin K :
57801,,,,25.0,Thiamin :
57801,,,,25.0,Riboflavin :
57801,,,,30.0,Niacin :
57801,,,,25.0,Vitamin B6 :
57801,,,,25.0,Folate :
57801,, mcg , 60,,Folic Acid
57801,,,,25.0,Vitamin B12 :
57801,,,,25.0,Biotin :
57801,,,,25.0,Pantothenic Acid :
57801,,,,25.0,Choline :
57807,, mcg , 12,60.0,Vitamin D
57807,,,,25.0,Vitamin A :
57807,,,,100.0,Vitamin C :
57807,,,,40.0,Vitamin E :
57807,,,,25.0,Vitamin K :
57807,,,,25.0,Thiamin :
57807,,,,25.0,Riboflavin :
57807,,,,30.0,Niacin :
57807,,,,25.0,Vitamin B6 :
57807,,,,25.0,Folate :
57807,, mcg , 60,,Folic Acid
57807,,,,25.0,Vitamin B12 :
57807,,,,25.0,Biotin :
57807,,,,25.0,Pantothenic Acid :
57807,,,,25.0,Choline :
66794,, mcg , 12,60.0,Vitamin D
66794,,,,25.0,Vitamin A :
66794,,,,100.0,Vitamin C :
66794,,,,40.0,Vitamin E :
66794,,,,25.0,Vitamin K :
66794,,,,25.0,Thiamin :
66794,,,,25.0,Riboflavin :
66794,,,,30.0,Niacin :
66794,,,,25.0,Vitamin B6 :
66794,,,,25.0,Folate :
66794,, mcg , 60,,Folic Acid
66794,,,,25.0,Vitamin B12 :
66794,,,,25.0,Biotin :
66794,,,,25.0,Pantothenic Acid :
66794,,,,25.0,Choline :
57810,, mcg , 12,60.0,Vitamin D
57810,,,,25.0,Vitamin A :
57810,,,,100.0,Vitamin C :
57810,,,,40.0,Vitamin E :
57810,,,,25.0,Vitamin K :
57810,,,,25.0,Thiamin :
57810,,,,25.0,Riboflavin :
57810,,,,30.0,Niacin :
57810,,,,25.0,Vitamin B6 :
57810,,,,25.0,Folate :
57810,, mcg , 60,,Folic Acid
57810,,,,25.0,Vitamin B12 :
57810,,,,25.0,Biotin :
57810,,,,25.0,Pantothenic Acid :
57810,,,,25.0,Choline :
57804,, mcg , 12,60.0,Vitamin D
57804,,,,25.0,Vitamin A :
57804,,,,100.0,Vitamin C :
57804,,,,40.0,Vitamin E :
57804,,,,25.0,Vitamin K :
57804,,,,25.0,Thiamin :
57804,,,,25.0,Riboflavin :
57804,,,,30.0,Niacin :
57804,,,,25.0,Vitamin B6 :
57804,,,,25.0,Folate :
57804,, mcg , 60,,Folic Acid
57804,,,,25.0,Vitamin B12 :
57804,,,,25.0,Biotin :
57804,,,,25.0,Pantothenic Acid :
57804,,,,25.0,Choline :
67067,, mcg , 10,50.0,Vitamin D
67067,,,,50.0,Vitamin A :
67067,,,,100.0,Vitamin C :
67067,,,,50.0,Vitamin E :
67067,,,,30.0,Vitamin K :
67067,,,,50.0,Thiamin :
67067,,,,50.0,Riboflavin :
67067,,,,45.0,Niacin :
67067,,,,50.0,Vitamin B6 :
67067,,,,35.0,Folate :
67067,, mcg , 84,,Folic Acid
67067,,,,50.0,Vitamin B12 :
67067,,,,50.0,Biotin :
67067,,,,50.0,Pantothenic Acid :
67067,,,,35.0,Choline :
59856,, mcg , 3,15.0,Vitamin D
59856,,,,15.0,Vitamin A :
59856,,,,60.0,Vitamin C :
59856,,,,20.0,Vitamin E :
59856,,,,10.0,Vitamin K :
59856,,,,20.0,Thiamin :
59856,,,,30.0,Riboflavin :
59856,,,,20.0,Niacin :
59856,,,,30.0,Vitamin B6 :
59856,,,,25.0,Folate :
59856,, mcg , 60,,Folic Acid
59856,,,,50.0,Vitamin B12 :
59856,,,,20.0,Biotin :
59856,,,,35.0,Pantothenic Acid :
59856,,,,15.0,Choline :
67070,, mcg , 10,50.0,Vitamin D
67070,,,,50.0,Vitamin A :
67070,,,,100.0,Vitamin C :
67070,,,,50.0,Vitamin E :
67070,,,,30.0,Vitamin K :
67070,,,,50.0,Thiamin :
67070,,,,50.0,Riboflavin :
67070,,,,45.0,Niacin :
67070,,,,50.0,Vitamin B6 :
67070,,,,35.0,Folate :
67070,, mcg , 84,,Folic Acid
67070,,,,50.0,Vitamin B12 :
67070,,,,50.0,Biotin :
67070,,,,50.0,Pantothenic Acid :
67070,,,,35.0,Choline :
59859,, mcg , 3,15.0,Vitamin D
59859,,,,15.0,Vitamin A :
59859,,,,60.0,Vitamin C :
59859,,,,20.0,Vitamin E :
59859,,,,10.0,Vitamin K :
59859,,,,20.0,Thiamin :
59859,,,,30.0,Riboflavin :
59859,,,,20.0,Niacin :
59859,,,,30.0,Vitamin B6 :
59859,,,,25.0,Folate :
59859,,,,50.0,Vitamin B12 :
59859,, mcg , 60,,Folic Acid
59859,,,,20.0,Biotin :
59859,,,,35.0,Pantothenic Acid :
59859,,,,15.0,Choline :
64913,, IU , 1500<sup>†</sup>,,Vitamin A
64913,, mg , 0.5,,Beta-Carotene
64913,, IU , 67,,Vitamin D
64913,, IU , 7.5,,Vitamin E
64913,, mcg , 14,,Vitamin K
64913,, mg , 50,,Vitamin C
64913,, mcg , 100,,Folic Acid
64913,, mg , 0.38,,Vitamin B1
64913,, mg , 0.43,,Vitamin B2
64913,, mg , 0.50,,Vitamin B6
64913,, mcg , 1.5,,Vitamin B12
64913,, mg , 5.0,,Niacin
64913,, mg , 100,,Choline
64913,, mcg , 75,,Biotin
64913,, mg , 2.5,,Pantothenic Acid
64918,, mg , 200,,m-Inositol
64918,, IU , 1840<sup>†</sup>,,Vitamin A
64918,, mg , 0.63,,Beta-Carotene
64918,, IU , 82,,Vitamin D
64918,, IU , 9.2,,Vitamin E
64918,, mcg , 24,,Vitamin K
64918,, mg , 62,,Vitamin C
64918,, mcg , 76,,Folic Acid
64918,, mg , 0.29,,Vitamin B1
64918,, mg , 0.33,,Vitamin B2
64918,, mg , 0.38,,Vitamin B6
64918,, mcg , 1.2,,Vitamin B12
64918,, mg , 3.8,,Niacin
64918,, mg , 105,,Choline
64918,, mcg , 57,,Biotin
64918,, mg , 1.9,,Pantothenic Acid
66906,, mcg , 1.5,8.0,Vitamin D
66906,,,,15.0,Vitamin A :
66906,,,,6.0,Vitamin C :
66906,,,,15.0,Vitamin E :
66906,,,,6.0,Vitamin K :
66906,,,,15.0,Thiamin :
66906,,,,15.0,Riboflavin :
66906,,,,15.0,Niacin :
66906,,,,10.0,Vitamin B6 :
66906,, mcg DFE , 65,15.0,Folate
66906,, mcg , 40,,Folic Acid
66906,,,,25.0,Vitamin B12 :
66906,,,,100.0,Biotin :
66906,,,,20.0,Pantothenic Acid :
64920,, mg , 205,,m-Inositol
64920,, IU , 2060<sup>†</sup>,,Vitamin A
64920,, mg , 0.79,,Beta-Carotene
64920,, IU , 102,,Vitamin D
64920,, IU , 12,,Vitamin E
64920,, mcg , 30,,Vitamin K
64920,, mg , 78,,Vitamin C
64920,, mcg , 95,,Folic Acid
64920,, mg , 0.36,,Vitamin B1
64920,, mg , 0.41,,Vitamin B2
64920,, mg , 0.48,,Vitamin B6
64920,, mcg , 1.5,,Vitamin B12
64920,, mg , 4.8,,Niacin
64920,, mg , 131,,Choline
64920,, mcg , 75,,Biotin
64920,, mg , 2.4,,Pantothenic Acid
66905,, mcg , 1.5,8.0,Vitamin D
66905,,,,15.0,Vitamin A :
66905,,,,6.0,Vitamin C :
66905,,,,15.0,Vitamin E :
66905,,,,6.0,Vitamin K :
66905,,,,15.0,Thiamin :
66905,,,,15.0,Riboflavin :
66905,,,,15.0,Niacin :
66905,,,,10.0,Vitamin B6 :
66905,, mcg DFE , 65,15.0,Folate
66905,, mcg , 40,,Folic Acid
66905,,,,25.0,Vitamin B12 :
66905,,,,100.0,Biotin :
66905,,,,20.0,Pantothenic Acid :
66884,, mcg , 0.3,2.0,Vitamin D
66884,,,,25.0,Vitamin A :
66884,,,,10.0,Vitamin C :
66884,,,,15.0,Vitamin E :
66884,,,,20.0,Thiamin :
66884,,,,35.0,Riboflavin :
66884,,,,50.0,Niacin :
66884,,,,20.0,Vitamin B6 :
66884,,,,20.0,Folate :
66884,, mcg , 48,,Folic Acid
66884,,,,10.0,Vitamin B12 :
66884,,,,90.0,Biotin :
66884,,,,30.0,Pantothenic Acid :
66887,, mcg , 0.5,2.0,Vitamin D
66887,,,,25.0,Vitamin A :
66887,,,,10.0,Vitamin C :
66887,,,,15.0,Vitamin E :
66887,,,,20.0,Thiamin :
66887,,,,35.0,Riboflavin :
66887,,,,50.0,Niacin :
66887,,,,20.0,Vitamin B6 :
66887,,,,20.0,Folate :
66887,, mcg , 48,,Folic Acid
66887,,,,10.0,Vitamin B12 :
66887,,,,90.0,Biotin :
66887,,,,30.0,Pantothenic Acid :
66903,, mcg , 1.5,8.0,Vitamin D
66903,,,,15.0,Vitamin A :
66903,,,,6.0,Vitamin C :
66903,,,,15.0,Vitamin E :
66903,,,,6.0,Vitamin K :
66903,,,,15.0,Thiamin :
66903,,,,15.0,Riboflavin :
66903,,,,15.0,Niacin :
66903,,,,10.0,Vitamin B6 :
66903,, mcg DFE , 65,15.0,Folate
66903,, mcg , 40,,Folic Acid
66903,,,,25.0,Vitamin B12 :
66903,,,,100.0,Biotin :
66903,,,,20.0,Pantothenic Acid :
67272,, mcg , 2,10.0,Vitamin D
67272,,,,35.0,Vitamin A :
67272,,,,30.0,Vitamin C :
67272,,,,30.0,Vitamin E :
67272,,,,20.0,Vitamin K :
67272,,,,30.0,Thiamin :
67272,,,,35.0,Riboflavin :
67272,,,,35.0,Niacin :
67272,,,,25.0,Vitamin B6 :
67272,,,,70.0,Folate :
67272,, mcg , 170,,Folic Acid
67272,,,,35.0,Vitamin B12 :
67272,,,,200.0,Biotin :
67272,,,,30.0,Pantothenic Acid :
67257,, mcg , 2,10.0,Vitamin D
67257,,,,35.0,Vitamin A :
67257,,,,30.0,Vitamin C :
67257,,,,30.0,Vitamin E :
67257,,,,20.0,Vitamin K :
67257,,,,30.0,Thiamin :
67257,,,,35.0,Riboflavin :
67257,,,,35.0,Niacin :
67257,,,,25.0,Vitamin B6 :
67257,,,,70.0,Folate :
67257,, mcg , 170,,Folic Acid
67257,,,,40.0,Vitamin B12 :
67257,,,,200.0,Biotin :
67257,,,,30.0,Pantothenic Acid :
67247,, mcg , 10,50.0,Vitamin D
67247,,,,25.0,Vitamin A :
67247,,,,25.0,Vitamin E :
67247,,,,20.0,Vitamin K :
67247,,,,50.0,Thiamin :
67247,,,,40.0,Riboflavin :
67247,,,,20.0,Niacin :
67247,,,,30.0,Vitamin B6 :
67247,, mcg DFE , 80,20.0,Folate
67247,, mcg , 50,,Folic Acid
67247,,,,110.0,Vitamin B12 :
67247,,,,30.0,Biotin :
67247,,,,40.0,Pantothenic Acid :
67298,, mg , 450,35,Calcium
67298,, mg , 1000,20,Potassium
67254,, mcg , 2,10.0,Vitamin D
67254,,,,35.0,Vitamin A :
67254,,,,30.0,Vitamin C :
67254,,,,30.0,Vitamin E :
67254,,,,15.0,Vitamin K :
67254,,,,25.0,Thiamin :
67254,,,,35.0,Riboflavin :
67254,,,,35.0,Niacin :
67254,,,,25.0,Vitamin B6 :
67254,,,,68.0,Folate :
67254,, mcg , 160,,Folic Acid
67254,,,,35.0,Vitamin B12 :
67254,,,,200.0,Biotin :
67254,,,,30.0,Pantothenic Acid :
67500,, mcg , 0,0.0,Vitamin D
67500,,,,15.0,Vitamin A :
67500,,,,40.0,Vitamin C :
67500,,,,20.0,Vitamin E :
67500,,,,25.0,Thiamin :
67500,,,,10.0,Riboflavin :
67500,,,,40.0,Niacin :
67500,,,,40.0,Vitamin B6 :
67500,, mcg DFE , 130,35.0,Folate
67500,, mcg , 80,,Folic Acid
67500,,,,70.0,Vitamin B12 :
67500,,,,80.0,Biotin :
67500,,,,40.0,Pantothenic Acid :
67260,, mg , 450,35,Calcium
67260,, mg , 1000,20,Potassium
67263,, mg , 450,35,Calcium
67263,, mg , 1000,20,Potassium
67495,, mcg , 0,0.0,Vitamin D
67495,,,,15.0,Vitamin A :
67495,,,,40.0,Vitamin C :
67495,,,,20.0,Vitamin E :
67495,,,,25.0,Thiamin :
67495,,,,10.0,Riboflavin :
67495,,,,40.0,Niacin :
67495,,,,40.0,Vitamin B6 :
67495,, mcg DFE , 130,35.0,Folate
67495,, mcg , 80,,Folic Acid
67495,,,,70.0,Vitamin B12 :
67495,,,,80.0,Biotin :
67495,,,,40.0,Pantothenic Acid :
67510,, mcg , 0,0.0,Vitamin D
67510,,,,10.0,Vitamin A :
67510,,,,40.0,Vitamin C :
67510,,,,20.0,Vitamin E :
67510,,,,25.0,Thiamin :
67510,,,,10.0,Riboflavin :
67510,,,,40.0,Niacin :
67510,,,,40.0,Vitamin B6 :
67510,, mcg DFE , 130,35.0,Folate
67510,, mcg , 80,,Folic Acid
67510,,,,70.0,Vitamin B12 :
67510,,,,80.0,Biotin :
67510,,,,40.0,Pantothenic Acid :
67500p12,, mcg , 0,0.0,Vitamin D
67500p12,,,,15.0,Vitamin A :
67500p12,,,,40.0,Vitamin C :
67500p12,,,,20.0,Vitamin E :
67500p12,,,,25.0,Thiamin :
67500p12,,,,10.0,Riboflavin :
67500p12,,,,40.0,Niacin :
67500p12,,,,40.0,Vitamin B6 :
67500p12,, mcg DFE , 130,35.0,Folate
67500p12,, mcg , 80,,Folic Acid
67500p12,,,,70.0,Vitamin B12 :
67500p12,,,,80.0,Biotin :
67500p12,,,,40.0,Pantothenic Acid :
67510p12,, mcg , 0,0.0,Vitamin D
67510p12,,,,10.0,Vitamin A :
67510p12,,,,40.0,Vitamin C :
67510p12,,,,20.0,Vitamin E :
67510p12,,,,25.0,Thiamin :
67510p12,,,,10.0,Riboflavin :
67510p12,,,,40.0,Niacin :
67510p12,,,,40.0,Vitamin B6 :
67510p12,, mcg DFE , 130,35.0,Folate
67510p12,, mcg , 80,,Folic Acid
67510p12,,,,70.0,Vitamin B12 :
67510p12,,,,80.0,Biotin :
67510p12,,,,40.0,Pantothenic Acid :
67495p12,, mcg , 0,0.0,Vitamin D
67495p12,,,,15.0,Vitamin A :
67495p12,,,,40.0,Vitamin C :
67495p12,,,,20.0,Vitamin E :
67495p12,,,,25.0,Thiamin :
67495p12,,,,10.0,Riboflavin :
67495p12,,,,40.0,Niacin :
67495p12,,,,40.0,Vitamin B6 :
67495p12,, mcg DFE , 130,35.0,Folate
67495p12,, mcg , 80,,Folic Acid
67495p12,,,,70.0,Vitamin B12 :
67495p12,,,,80.0,Biotin :
67495p12,,,,40.0,Pantothenic Acid :
